"","x"
"1","ABILITA' INFORMATICHE"
"2","ACUSTICA MUSICALE (1)"
"3","AFFIDABILITA E CONTROLLO DI QUALITA L-A"
"4","ALGORITMI AVANZATI"
"5","ALGORITMI DI OTTIMIZZAZIONE M"
"6","ANALISI E PROGETTAZIONE DEI PROCESSI ORGANIZZATIVI M"
"7","ANALISI MATEMATICA M"
"8","ANALISI MATEMATICA M E METODI NUMERICI PER L'INGEGNERIA M C.I."
"9","ANALISI STATICA DI PROGRAMMI"
"10","ANALISI STATICA DI PROGRAMMI - COMPLEMENTI DI LINGUAGGI DI PROGRAMMAZIONE (C.I.)"
"11","APPLICAZIONI DI INTELLIGENZA ARTIFICIALE M"
"12","ARCHITETTURE E PROTOCOLLI PER RETI SPAZIALI M"
"13","ATTIVITA' PREPARATORIA ALLA TESI M"
"14","ATTIVITÀ PROGETTUALE DI ALGORITMI DI OTTIMIZZAZIONE M"
"15","ATTIVITÀ PROGETTUALE DI APPLICAZIONI DI INTELLIGENZA ARTIFICIALE M"
"16","ATTIVITÀ PROGETTUALE DI CALCOLATORI ELETTRONICI M"
"17","ATTIVITÀ PROGETTUALE DI COMPUTER VISION AND IMAGE PROCESSING M"
"18","ATTIVITÀ PROGETTUALE DI DIAGNOSTICA E CONTROLLO M"
"19","ATTIVITÀ PROGETTUALE DI ELABORAZIONE DELL'IMMAGINE M"
"20","ATTIVITÀ PROGETTUALE DI FONDAMENTI DI COMPUTER GRAPHICS M"
"21","ATTIVITÀ PROGETTUALE DI FONDAMENTI DI INTELLIGENZA ARTIFICIALE M"
"22","ATTIVITÀ PROGETTUALE DI GESTIONE DELL'INNOVAZIONE E DEI PROGETTI M"
"23","ATTIVITÀ PROGETTUALE DI INGEGNERIA DEI SISTEMI SOFTWARE M"
"24","ATTIVITÀ PROGETTUALE DI LINGUAGGI E MODELLI COMPUTAZIONALI M"
"25","ATTIVITÀ PROGETTUALE DI MATEMATICA DISCRETA M"
"26","ATTIVITÀ PROGETTUALE DI METODOLOGIE DI PROGETTAZIONE HARDWARE-SOFTWARE M"
"27","ATTIVITÀ PROGETTUALE DI PROCESSI E TECNICHE DI DATA MINING M"
